exp_id,seed,dataset,is_task_reg,train_size,test_size,train_dim,encoder,time_encoder,model,time_model,Accuracy,F1,AUC,Precision,Recall,CrossEntropy,ZeroOneLoss,HingeLoss,MSE,RMSE,MAE,MAPE,R2,Accuracy_train,F1_train,AUC_train,Precision_train,Recall_train,CrossEntropy_train,ZeroOneLoss_train,HingeLoss_train,MSE_train,RMSE_train,MAE_train,MAPE_train,R2_train
0-UkAir-GLMMEncoder-MLPRegressor,0,UkAir,True,315439,78860,7,GLMMEncoder,7.484375,MLPRegressor,107.015625,,,,,,,,,0.7789473023488883,0.882579912726824,0.5670221320755411,4.561172774107975,0.2036969248123317,,,,,,,,,0.7971322530267645,0.8928226324566176,0.5646473499885638,5.115683876226977,0.20286774697323562
0-UkAir-GLMMEncoder-RandomForestRegressor,0,UkAir,True,315439,78860,7,GLMMEncoder,7.484375,RandomForestRegressor,69.421875,,,,,,,,,1.1619058736354906,1.0779173779262912,0.6814184398776443,6.192080479501729,-0.1877943699972502,,,,,,,,,0.602398743767139,0.7761435071989837,0.48774818444001045,5.263133937529639,0.39760125623286113
0-UkAir-GLMMEncoder-RidgeCV,0,UkAir,True,315439,78860,7,GLMMEncoder,7.484375,RidgeCV,0.3125,,,,,,,,,0.8630010757783514,0.9289785120110967,0.5983259940566729,5.339329938457364,0.11777034407808051,,,,,,,,,0.8879328088152306,0.942301867139841,0.5973122852796598,5.464223999599803,0.11206719118476949
0-UkAir-GLMMEncoder-DecisionTreeRegressor,0,UkAir,True,315439,78860,7,GLMMEncoder,7.484375,DecisionTreeRegressor,0.453125,,,,,,,,,0.7725807053661456,0.8789657020419771,0.561679297548564,5.11154977816634,0.21020537633472736,,,,,,,,,0.7655582263315543,0.8749618427860465,0.5543268231732813,5.382303874131958,0.23444177366844587
0-UkAir-GLMMEncoder-XGBRegressor,0,UkAir,True,315439,78860,7,GLMMEncoder,7.484375,XGBRegressor,7.90625,,,,,,,,,0.7360687772859095,0.8579445071133153,0.548652653147824,4.561502970570364,0.24753082893421596,,,,,,,,,0.7261149768752255,0.8521238037252717,0.5399688003986393,5.29258553160433,0.2738850231247747
0-UkAir-GLMMEncoder-LGBMRegressor,0,UkAir,True,315439,78860,7,GLMMEncoder,7.484375,LGBMRegressor,4.890625,,,,,,,,,0.7527231373435064,0.8675961833384852,0.555721758172924,4.7986666032633325,0.23050539205401077,,,,,,,,,0.7577057943736092,0.8704629770263691,0.55240057959148,5.293266140728543,0.24229420562639092
0-UkAir-GLMMEncoder-LinearSVR,0,UkAir,True,315439,78860,7,GLMMEncoder,7.484375,LinearSVR,26.046875,,,,,,,,,0.9413639444376191,0.9702391171446444,0.5529733765785276,3.7568476626589247,0.03766146751385668,,,,,,,,,0.9642978025197227,0.9819866610701607,0.5517859609123337,3.754489491746465,0.035702197480277365
0-EmployeeAccess-GLMMEncoder-MLPClassifier,0,EmployeeAccess,False,26215,6554,9,GLMMEncoder,73207.796875,MLPClassifier,9.390625,0.9397314617027769,0.9685584653347131,0.8474468888169956,0.9534555712270804,0.984147525072792,0.2714744518300578,0.06026853829722312,0.11702776930119012,,,,,,0.9731451459088308,0.9857703035938069,0.9873645532471498,0.9839009038089089,0.9876468205751316,0.06459624553702738,0.026854854091169167,0.08502765592218196,,,,,
0-EmployeeAccess-GLMMEncoder-RandomForestClassifier,0,EmployeeAccess,False,26215,6554,9,GLMMEncoder,73207.796875,RandomForestClassifier,1.828125,0.9403417760146475,0.9688371722324061,0.7926448360310716,0.9549096622152395,0.9831769653833711,0.6933158767780223,0.059658223985352477,0.1164174549893195,,,,,,0.9996185390043868,0.9997974888618874,0.9999984064697329,0.9997974888618874,0.9997974888618874,0.016732520390233423,0.0003814609956132031,0.05855426282662598,,,,,
0-EmployeeAccess-GLMMEncoder-DecisionTreeClassifier,0,EmployeeAccess,False,26215,6554,9,GLMMEncoder,73207.796875,DecisionTreeClassifier,0.03125,0.9356118400976503,0.9662345975356057,0.7377334213446599,0.9559848005066498,0.9767065674538984,1.045612910841928,0.0643881599023497,0.12114739090631675,,,,,,0.9768834636658401,0.9877432142712674,0.9926308653533321,0.9865061409179057,0.9889833940866748,0.049673400479264426,0.023116536334159887,0.08128933816517261,,,,,
0-EmployeeAccess-GLMMEncoder-XGBClassifier,0,EmployeeAccess,False,26215,6554,9,GLMMEncoder,73207.796875,XGBClassifier,1.234375,0.9418675617943241,0.969585694899018,0.8214572397143285,0.9571315996847912,0.982368165642187,0.3016336035617569,0.05813243820567593,0.11489166920964297,,,,,,0.9918367346938776,0.9956702949864443,0.9989486020091761,0.9947445019404916,0.9965978128797084,0.026165348722241036,0.008163265306122436,0.06633606713713523,,,,,
0-EmployeeAccess-GLMMEncoder-LGBMClassifier,0,EmployeeAccess,False,26215,6554,9,GLMMEncoder,73207.796875,LGBMClassifier,1.15625,0.9435459261519683,0.9704755825087776,0.8279224195809547,0.9576377952755906,0.9836622452280815,0.28196754460984114,0.056454073848031694,0.11321330485199878,,,,,,0.9859622353614343,0.9925530192650154,0.9974507101169252,0.9918304618620076,0.9932766302146618,0.035338958968660475,0.014037764638565653,0.07221056646957849,,,,,
