exp_id,seed,dataset,is_task_reg,train_size,test_size,train_dim,encoder,time_encoder,model,time_model,Accuracy,F1,AUC,Precision,Recall,CrossEntropy,ZeroOneLoss,HingeLoss,MSE,RMSE,MAE,MAPE,R2,Accuracy_train,F1_train,AUC_train,Precision_train,Recall_train,CrossEntropy_train,ZeroOneLoss_train,HingeLoss_train,MSE_train,RMSE_train,MAE_train,MAPE_train,R2_train
8-Churn-GLMMEncoder-XGBClassifier,8,Churn,False,4000,1000,18,GLMMEncoder,1.5,XGBClassifier,1.0625,0.919,0.6610878661087866,0.8513411764705882,0.8876404494382022,0.5266666666666666,0.30997906921415785,0.08099999999999996,0.931,,,,,,1.0,1.0,1.0,1.0,1.0,0.02108242227640259,0.0,0.86075,,,,,
8-Churn-GLMMEncoder-LGBMClassifier,8,Churn,False,4000,1000,18,GLMMEncoder,1.5,LGBMClassifier,0.65625,0.921,0.6638297872340426,0.8598666666666666,0.9176470588235294,0.52,0.2646946679761952,0.07899999999999996,0.929,,,,,,0.99525,0.9826484018264839,0.9999681919081257,1.0,0.9658886894075404,0.047046492514112304,0.004750000000000032,0.8655,,,,,
8-Churn-GLMMEncoder-LogisticRegression,8,Churn,False,4000,1000,18,GLMMEncoder,1.5,LogisticRegression,0.015625,0.853,0.19672131147540983,0.7545725490196079,0.5454545454545454,0.12,0.36765605053396794,0.14700000000000002,0.997,,,,,,0.8715,0.25290697674418605,0.7893767230469441,0.6641221374045801,0.1561938958707361,0.3306744070321824,0.12849999999999995,0.98925,,,,,
8-Churn-GLMMEncoder-LinearSVC,8,Churn,False,4000,1000,18,GLMMEncoder,1.5,LinearSVC,0.25,0.85,0.0625,0.5137254901960785,0.5,0.03333333333333333,5.406548008367574,0.15000000000000002,1.0,,,,,,0.86575,0.11532125205930806,0.5292399795385323,0.7,0.06283662477558348,4.838860467488978,0.13424999999999998,0.995,,,,,
8-Colleges-GLMMEncoder-MLPRegressor,8,Colleges,True,4748,1187,27,GLMMEncoder,5.0625,MLPRegressor,8.703125,,,,,,,,,0.2393695652086113,0.48925409064065195,0.32694707533407946,3.5073217384212514,0.746020979712762,,,,,,,,,0.07936219155799672,0.28171295951375175,0.20139435205411046,2.574285382385775,0.9206378084420033
8-Colleges-GLMMEncoder-RandomForestRegressor,8,Colleges,True,4748,1187,27,GLMMEncoder,5.0625,RandomForestRegressor,9.25,,,,,,,,,0.2618153923552937,0.5116789934668939,0.3250798062521527,2.996394239083499,0.7222052152345886,,,,,,,,,0.0246651435026821,0.15705140401372444,0.09253284383490328,1.0901083379553906,0.9753348564973179
8-Colleges-GLMMEncoder-RidgeCV,8,Colleges,True,4748,1187,27,GLMMEncoder,5.0625,RidgeCV,0.015625,,,,,,,,,0.3323457222169333,0.5764943384083953,0.39118348658302826,3.2453939117044057,0.6473702040952922,,,,,,,,,0.3199410883399378,0.5656333515095603,0.3736037476360081,3.9923087088753104,0.6800589116600622
8-Colleges-GLMMEncoder-DecisionTreeRegressor,8,Colleges,True,4748,1187,27,GLMMEncoder,5.0625,DecisionTreeRegressor,0.046875,,,,,,,,,0.36579710190041853,0.6048116251366359,0.38447782178044426,3.208444166452816,0.6118771846219779,,,,,,,,,0.16304324895349653,0.4037861425971631,0.24993125903985128,2.8528819019793867,0.8369567510465035
8-Colleges-GLMMEncoder-XGBRegressor,8,Colleges,True,4748,1187,27,GLMMEncoder,5.0625,XGBRegressor,1.96875,,,,,,,,,0.2412501136712527,0.49117218332398743,0.3165136513606612,3.099505162293231,0.7440256556383414,,,,,,,,,0.010622791668137345,0.10306692810080907,0.06922986323509371,1.136587217498622,0.9893772083318626
8-Colleges-GLMMEncoder-LGBMRegressor,8,Colleges,True,4748,1187,27,GLMMEncoder,5.0625,LGBMRegressor,1.171875,,,,,,,,,0.2285081156309929,0.4780252248898513,0.30714791759381355,3.4261767743449902,0.7575453367053423,,,,,,,,,0.0568202799555728,0.2383700483608895,0.161677400579241,2.0775437007585182,0.9431797200444272
8-Colleges-GLMMEncoder-LinearSVR,8,Colleges,True,4748,1187,27,GLMMEncoder,5.0625,LinearSVR,0.859375,,,,,,,,,0.3324993844675265,0.5766275959989484,0.37215571954772314,3.116184855844583,0.647207163368595,,,,,,,,,0.3399353341650443,0.5830397363516867,0.36086270607409976,3.6741171488209887,0.6600646658349557
8-HIV-GLMMEncoder-MLPClassifier,8,HIV,False,5272,1318,8,GLMMEncoder,3.109375,MLPClassifier,4.015625,0.9188163884673748,0.7977315689981096,0.959514920155494,0.8274509803921568,0.7700729927007299,0.1986348017717294,0.08118361153262521,0.8732928679817906,,,,,,0.9438543247344461,0.8593155893536122,0.9786403243645616,0.888015717092338,0.8324125230202578,0.14668839942061404,0.05614567526555392,0.8501517450682853,,,,,
8-HIV-GLMMEncoder-RandomForestClassifier,8,HIV,False,5272,1318,8,GLMMEncoder,3.109375,RandomForestClassifier,0.375,0.9301972685887708,0.8223938223938224,0.9661185222473923,0.8729508196721312,0.7773722627737226,0.2263246331202591,0.06980273141122917,0.8619119878603946,,,,,,0.9988619119878603,0.9972375690607734,0.9999918609695213,0.9972375690607734,0.9972375690607734,0.045117482215011814,0.0011380880121396597,0.795144157814871,,,,,
8-HIV-GLMMEncoder-DecisionTreeClassifier,8,HIV,False,5272,1318,8,GLMMEncoder,3.109375,DecisionTreeClassifier,0.015625,0.9044006069802731,0.7683823529411764,0.9302549151215146,0.774074074074074,0.7627737226277372,0.9715174842671106,0.09559939301972686,0.8877086494688923,,,,,,0.9430955993930197,0.8565965583173997,0.9843076192763918,0.8906560636182903,0.8250460405156538,0.12571177362062086,0.05690440060698032,0.8509104704097117,,,,,
8-HIV-GLMMEncoder-XGBClassifier,8,HIV,False,5272,1318,8,GLMMEncoder,3.109375,XGBClassifier,0.609375,0.93247344461305,0.8342644320297951,0.972557820846268,0.8517110266159695,0.8175182481751825,0.1863608819773297,0.06752655538694996,0.8596358118361154,,,,,,0.9982928679817906,0.9958544449562413,0.999981082253482,0.9963133640552996,0.9953959484346224,0.021589916655357293,0.0017071320182093785,0.7957132018209409,,,,,
8-HIV-GLMMEncoder-LGBMClassifier,8,HIV,False,5272,1318,8,GLMMEncoder,3.109375,LGBMClassifier,0.703125,0.9294385432473444,0.8280961182994454,0.9686739659367397,0.8389513108614233,0.8175182481751825,0.18036304273807796,0.07056145675265557,0.862670713201821,,,,,,0.992412746585736,0.9814814814814814,0.9996865373396722,0.9869646182495344,0.9760589318600368,0.04609557729676783,0.007587253414264028,0.8015933232169955,,,,,
8-HIV-GLMMEncoder-LogisticRegression,8,HIV,False,5272,1318,8,GLMMEncoder,3.109375,LogisticRegression,0.015625,0.921092564491654,0.8045112781954887,0.9573579998322007,0.8294573643410853,0.781021897810219,0.20192676786126226,0.078907435508346,0.8710166919575114,,,,,,0.9262139605462822,0.8137865007180469,0.9668224521095047,0.847457627118644,0.7826887661141805,0.18015443547357637,0.07378603945371776,0.8677921092564491,,,,,
8-HIV-GLMMEncoder-LinearSVC,8,HIV,False,5272,1318,8,GLMMEncoder,3.109375,LinearSVC,0.046875,0.9195751138088012,0.8,0.8657885169337474,0.828125,0.7737226277372263,2.8988067217347635,0.08042488619119881,0.8725341426403642,,,,,,0.9265933232169955,0.8145663632007667,0.8733080715425178,0.8491508491508492,0.7826887661141805,2.6458448144135693,0.0734066767830045,0.867412746585736,,,,,
